DATE,CPI_all_items,Rent_of_Primary_residence,Monthly_Housing_Cost,CPI_Energy,US_Dollar_Purchasing_power
2021-01-01,262.650,354.330,246.008,300.382,38.2
2021-02-01,263.638,355.015,247.387,300.540,38.0
2021-03-01,264.914,354.530,248.984,300.897,37.8
2021-04-01,266.670,355.331,251.491,301.819,37.4
2021-05-01,268.444,355.663,253.934,303.481,37.1
2021-06-01,270.559,357.057,254.974,305.634,36.8
2021-07-01,271.764,358.024,255.929,308.023,36.6
2021-08-01,272.870,359.380,256.078,309.336,36.6
2021-09-01,274.028,362.153,256.881,310.996,36.5
2021-10-01,276.522,361.733,258.621,313.592,36.2
2021-11-01,278.711,363.766,259.254,315.481,36.0
2021-12-01,280.887,364.376,260.368,317.372,35.9
2022-01-01,282.599,365.851,262.730,319.471,35.6
2022-02-01,284.610,367.296,264.828,320.880,35.2
2022-03-01,287.472,367.338,268.417,321.689,34.8
2022-04-01,288.611,368.362,269.569,323.559,34.6
2022-05-01,291.268,370.324,274.301,325.952,34.2
2022-06-01,294.728,372.385,277.780,329.033,33.7
2022-07-01,294.628,373.912,277.311,331.342,33.8
2022-08-01,295.320,377.091,277.454,334.212,33.8
2022-09-01,296.539,379.085,278.030,337.369,33.7
2022-10-01,297.987,383.055,278.415,340.532,33.6
2022-11-01,298.598,384.450,276.861,342.266,33.6
2022-12-01,298.990,388.585,274.577,343.559,33.7
